Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Nikola Jokić,74,29.1,14.8,8.5,1.6,1.0,4.1,0.661,32.8,0.221,13.7,9.8,16.4,0.75,0.875
Joel Embiid,68,32.6,12.5,4.5,1.2,1.6,3.3,0.616,31.2,0.188,9.2,6.5,11.5,0.8,0.706
Giannis Antetokounmpo,67,32.7,12.7,6.3,1.2,1.5,3.6,0.633,32.1,0.211,11.2,7.4,11.0,0.8,0.595
Devin Booker,68,28.0,5.2,5.0,1.1,0.4,2.5,0.576,21.3,0.117,4.1,3.6,4.8,1.0,0.216
Luka Dončić,65,28.9,9.3,8.8,1.2,0.6,4.6,0.571,25.1,0.119,8.2,5.9,0.2,0.81,0.146
Jayson Tatum,76,27.0,8.0,4.4,1.0,0.6,2.9,0.578,21.8,0.127,4.9,4.8,13.9,0.8,0.043
Ja Morant,57,29.8,6.2,7.3,1.3,0.4,3.7,0.575,24.4,0.128,6.1,3.9,-1.7,0.88,0.01
Stephen Curry,64,26.6,5.4,6.6,1.4,0.4,3.3,0.601,21.4,0.13,5.8,4.4,10.0,0.83,0.004
Chris Paul,65,16.1,4.8,11.8,2.1,0.3,2.6,0.581,20.8,0.158,5.4,4.0,5.3,1.0,0.002
DeMar DeRozan,76,27.8,5.2,4.9,0.9,0.3,2.4,0.59,23.1,0.115,2.5,3.1,5.1,0.72,0.001
