Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
James Harden,72,30.9,5.5,8.9,1.8,0.7,4.5,0.619,29.8,0.218,9.9,7.7,5.3,1.0,0.955
LeBron James,82,26.8,8.4,8.9,1.4,0.9,4.1,0.621,28.6,0.167,8.7,8.2,1.9,0.77,0.731
Anthony Davis,75,27.8,11.0,2.3,1.5,2.6,2.2,0.612,28.9,0.181,6.7,5.9,11.0,0.74,0.441
Damian Lillard,73,26.5,4.4,6.5,1.1,0.4,2.8,0.594,25.2,0.17,7.2,6.3,9.5,0.75,0.205
Russell Westbrook,80,25.1,10.0,10.2,1.8,0.3,4.7,0.524,24.7,0.125,6.3,6.1,12.0,0.74,0.075
Giannis Antetokounmpo,75,26.4,9.8,4.7,1.5,1.4,2.9,0.598,27.3,0.156,6.2,5.7,9.4,0.68,0.074
Kevin Durant,68,27.8,7.2,5.7,0.7,1.9,3.2,0.64,26.0,0.161,7.3,5.5,1.9,0.89,0.065
DeMar DeRozan,80,24.4,4.1,5.5,1.2,0.3,2.3,0.555,21.0,0.127,2.8,3.2,-1.5,0.91,0.032
LaMarcus Aldridge,75,24.8,9.1,2.1,0.6,1.3,1.6,0.57,25.0,0.156,3.9,3.7,6.6,0.72,0.006
Jimmy Butler,59,21.8,5.2,4.8,2.0,0.4,1.8,0.59,23.7,0.148,5.8,4.2,13.6,0.72,0.005
