Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Stephen Curry,79,31.7,5.7,7.1,2.2,0.2,3.5,0.669,31.5,0.239,11.9,9.5,22.6,1.0,1.0
Kawhi Leonard,72,23.1,7.4,2.8,2.0,1.1,1.6,0.616,26.0,0.207,9.1,6.7,7.1,0.92,0.484
LeBron James,76,25.6,7.5,6.9,1.4,0.6,3.3,0.588,27.5,0.181,9.0,7.5,15.8,0.78,0.482
Russell Westbrook,80,24.6,8.2,10.9,2.1,0.3,4.5,0.554,27.6,0.183,7.8,6.8,12.6,0.75,0.371
Kevin Durant,72,28.4,8.2,5.0,1.0,1.2,3.5,0.634,28.2,0.203,9.9,7.8,12.5,0.75,0.112
Chris Paul,74,21.5,4.6,11.0,2.3,0.2,2.9,0.575,26.2,0.189,7.9,6.0,16.2,0.73,0.082
Draymond Green,81,14.5,9.9,7.7,1.6,1.5,3.3,0.587,19.3,0.142,5.5,5.3,26.3,1.0,0.038
Damian Lillard,75,25.3,4.0,6.9,0.9,0.4,3.2,0.56,22.2,0.124,4.4,4.3,2.0,0.6,0.02
James Harden,82,27.4,5.8,7.1,1.6,0.6,4.3,0.598,25.3,0.153,6.6,6.8,7.2,0.56,0.007
Kyle Lowry,77,20.6,4.6,6.2,2.0,0.4,2.8,0.578,22.2,0.147,5.8,5.7,6.3,0.77,0.005
