Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
LeBron James,76,25.5,7.6,6.9,1.6,0.9,2.8,0.64,31.6,0.241,11.7,9.9,15.3,1.0,0.998
Kevin Durant,81,26.3,7.4,4.3,1.3,1.2,3.3,0.647,28.3,0.218,9.3,8.9,7.2,0.91,0.632
Carmelo Anthony,67,27.9,6.7,2.5,0.8,0.5,2.5,0.56,24.8,0.138,4.3,3.9,3.4,0.82,0.393
Chris Paul,70,18.2,4.0,10.5,2.6,0.1,2.5,0.594,26.4,0.214,8.8,6.4,6.7,0.85,0.239
Kobe Bryant,78,25.5,5.2,5.6,1.3,0.3,3.5,0.57,23.0,0.13,4.6,5.0,2.8,0.68,0.152
Tony Parker,66,22.2,3.3,8.3,0.9,0.1,2.8,0.588,23.0,0.154,3.6,3.1,8.0,0.88,0.071
Tim Duncan,69,21.3,11.8,3.2,0.8,3.2,2.5,0.554,24.4,0.144,5.3,3.8,7.7,0.88,0.054
James Harden,78,24.3,4.6,5.5,1.7,0.5,3.6,0.6,22.9,0.154,5.6,5.8,-3.5,0.68,0.027
Russell Westbrook,82,23.9,5.4,7.6,1.9,0.3,3.4,0.532,23.9,0.146,4.4,4.6,3.5,0.91,0.007
Dwyane Wade,69,22.0,5.2,5.3,2.0,0.8,2.9,0.571,24.0,0.144,4.4,3.8,9.4,1.0,0.004
