Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
Giannis Antetokounmpo,1857,856,354,61,66,230,11.1
LeBron James,1698,525,684,78,36,261,9.8
James Harden,2335,446,512,125,60,308,13.1
Luka Dončić,1759,573,538,62,14,260,8.8
Kawhi Leonard,1543,402,280,103,33,149,8.7
Anthony Davis,1618,577,200,91,143,154,11.1
Chris Paul,1232,349,472,111,11,161,8.9
Damian Lillard,1978,284,530,70,22,194,11.6
Nikola Jokić,1456,711,512,85,44,226,9.8
Pascal Siakam,1371,439,207,61,53,148,5.4
