Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
James Harden,2191,389,630,126,50,315,15.4
LeBron James,2251,709,747,116,71,347,14.0
Anthony Davis,2110,832,174,115,193,162,13.7
Damian Lillard,1962,325,481,77,27,206,12.6
Russell Westbrook,2028,804,820,147,20,381,10.1
Giannis Antetokounmpo,2014,753,361,109,106,223,11.9
Kevin Durant,1792,464,366,50,119,207,10.4
DeMar DeRozan,1840,315,417,85,22,175,9.6
LaMarcus Aldridge,1735,635,152,43,90,111,10.9
Jimmy Butler,1307,314,288,116,24,108,8.9
