Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
Stephen Curry,1900,341,619,163,16,249,15.7
James Harden,2217,459,565,154,60,321,16.4
LeBron James,1743,416,511,109,49,272,10.4
Russell Westbrook,1886,488,574,140,14,293,10.6
Anthony Davis,1656,696,149,100,200,95,14.0
Chris Paul,1564,376,838,156,15,190,16.1
LaMarcus Aldridge,1661,726,124,48,68,122,8.6
Marc Gasol,1413,630,307,70,131,176,10.2
Blake Griffin,1469,508,354,63,35,152,9.0
Tim Duncan,1070,704,230,63,151,131,9.6
