Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Stephen Curry,80,26.2,4.7,8.5,2.2,0.2,3.4,0.638,28.0,0.216,9.9,7.9,18.1,1.0,0.922
James Harden,81,26.8,5.6,6.8,1.9,0.7,3.9,0.605,26.7,0.198,8.8,8.1,8.6,0.84,0.72
LeBron James,69,25.2,6.0,7.4,1.6,0.7,3.9,0.577,25.9,0.15,7.1,5.7,16.6,0.79,0.425
Russell Westbrook,67,29.4,7.6,9.0,2.2,0.2,4.6,0.536,29.1,0.166,8.1,5.8,6.6,0.67,0.271
Anthony Davis,68,24.3,10.2,2.2,1.5,2.9,1.4,0.591,30.8,0.205,8.9,6.7,11.3,0.67,0.156
Chris Paul,82,19.8,4.8,10.6,2.0,0.2,2.4,0.596,26.0,0.203,8.0,7.2,20.3,0.84,0.095
LaMarcus Aldridge,71,23.8,10.4,1.7,0.7,1.0,1.7,0.528,22.8,0.123,2.9,3.1,4.6,0.76,0.005
Marc Gasol,81,18.9,8.5,4.1,1.0,1.7,2.4,0.558,21.7,0.137,5.1,4.8,0.7,0.82,0.002
Blake Griffin,67,22.4,7.8,5.4,0.9,0.5,2.4,0.551,22.8,0.137,4.0,3.6,12.8,0.84,0.002
Tim Duncan,77,17.3,11.3,3.7,1.0,2.5,2.1,0.56,22.6,0.155,5.1,4.0,0.8,0.82,0.001
