Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
Giannis Antetokounmpo,1994,898,424,92,110,268,14.4
James Harden,2818,518,586,158,58,387,15.2
Paul George,2159,628,318,170,34,205,11.9
Nikola Jokić,1604,865,580,108,55,248,11.8
Stephen Curry,1881,369,361,92,25,192,9.7
Damian Lillard,2067,371,551,88,34,212,12.1
Joel Embiid,1761,871,234,46,122,226,8.7
Kevin Durant,2027,497,457,58,84,225,11.5
Kawhi Leonard,1596,439,199,106,24,121,9.5
Russell Westbrook,1675,807,784,142,33,325,6.8
