Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Giannis Antetokounmpo,63,34.9,16.1,6.6,1.2,1.2,4.4,0.613,31.9,0.209,11.5,6.6,12.8,1.0,0.952
LeBron James,67,26.3,8.1,10.6,1.2,0.5,4.1,0.577,25.5,0.152,8.4,6.1,9.9,0.93,0.746
James Harden,68,33.8,6.5,7.4,1.8,0.9,4.4,0.626,29.1,0.19,9.6,7.3,9.1,0.79,0.363
Luka Dončić,61,30.9,10.1,9.4,1.1,0.2,4.6,0.585,27.6,0.155,8.4,5.4,1.2,0.77,0.198
Kawhi Leonard,57,30.1,7.9,5.4,2.0,0.7,2.9,0.589,26.9,0.17,8.9,5.1,11.6,0.88,0.166
Anthony Davis,62,27.3,9.7,3.3,1.6,2.4,2.6,0.61,27.4,0.187,8.0,5.4,-3.0,0.93,0.081
Chris Paul,70,20.1,5.7,7.7,1.8,0.2,2.6,0.61,21.7,0.145,4.4,3.5,11.3,0.79,0.026
Damian Lillard,66,28.8,4.1,7.7,1.1,0.3,2.8,0.627,26.9,0.169,7.5,5.9,8.7,0.62,0.023
Nikola Jokić,73,22.4,10.9,7.9,1.3,0.7,3.5,0.605,24.9,0.151,7.4,5.5,6.3,0.82,0.018
Pascal Siakam,60,23.4,7.5,3.6,1.0,0.9,2.6,0.554,17.9,0.092,1.8,2.0,6.2,0.95,0.017
