Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
Kevin Durant,2593,598,445,103,59,285,19.2
LeBron James,2089,533,488,121,26,270,15.9
Blake Griffin,1930,757,309,92,51,224,12.2
Joakim Noah,1007,900,431,99,121,194,11.2
James Harden,1851,344,446,115,29,265,12.8
Stephen Curry,1873,334,666,128,14,294,13.4
Chris Paul,1185,268,663,154,4,145,12.2
Al Jefferson,1594,792,155,67,79,124,7.8
Paul George,1737,542,283,151,22,224,10.8
LaMarcus Aldridge,1603,765,178,63,68,123,7.5
