Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
Stephen Curry,2375,430,527,169,15,262,17.9
Kawhi Leonard,1523,493,186,128,71,105,13.7
LeBron James,1920,565,514,104,49,249,13.6
Russell Westbrook,1878,626,834,163,20,342,14.0
Kevin Durant,2029,589,361,69,85,250,14.5
Chris Paul,1446,310,738,152,13,194,12.7
Draymond Green,1131,769,598,119,113,259,11.1
Damian Lillard,1879,302,512,65,28,242,9.2
James Harden,2376,501,612,139,51,374,13.3
Kyle Lowry,1634,365,494,158,34,225,11.6
