Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Nikola Jokić,72,27.5,11.2,8.6,1.4,0.7,3.2,0.647,31.3,0.225,12.1,8.8,6.4,0.9,0.961
Joel Embiid,51,33.0,12.3,3.2,1.2,1.6,3.6,0.636,30.3,0.2,7.5,3.8,12.4,0.94,0.58
Stephen Curry,63,33.7,5.8,6.1,1.3,0.1,3.6,0.655,26.3,0.15,8.7,5.8,8.6,0.75,0.449
Giannis Antetokounmpo,61,30.7,12.0,6.4,1.3,1.3,3.7,0.633,29.2,0.182,9.0,5.6,6.7,0.88,0.345
Chris Paul,70,18.8,5.2,10.2,1.6,0.3,2.5,0.599,21.4,0.151,4.6,3.6,2.1,0.98,0.138
Luka Dončić,66,29.1,8.4,9.0,1.0,0.5,4.5,0.587,25.3,0.122,6.8,5.1,3.0,0.81,0.042
Damian Lillard,67,29.0,4.2,7.5,0.9,0.3,3.0,0.623,25.6,0.156,6.3,5.0,6.6,0.81,0.038
Julius Randle,71,23.1,9.8,5.7,0.9,0.3,3.3,0.567,19.7,0.105,3.8,3.9,0.3,0.79,0.02
Derrick Rose,50,20.7,3.7,5.9,1.4,0.6,2.2,0.55,18.3,0.087,1.9,1.3,+11.6,0.79,0.01
Rudy Gobert,71,16.7,15.8,1.5,0.7,3.2,2.0,0.683,23.5,0.186,4.9,3.8,19.1,1.0,0.008
