Player,T_PTS,T_TRB,T_AST,T_STL,T_BLK,T_TOV,T_WS
Nikola Jokić,2004,1019,584,109,63,281,15.2
Joel Embiid,2079,796,284,77,99,214,12.0
Giannis Antetokounmpo,2002,778,388,72,91,219,12.9
Devin Booker,1822,342,329,77,26,162,7.6
Luka Dončić,1847,593,568,75,36,292,7.6
Jayson Tatum,2046,609,334,75,49,217,9.6
Ja Morant,1564,325,384,66,22,196,6.7
Stephen Curry,1630,335,404,85,23,206,8.0
Chris Paul,958,283,702,121,20,153,9.4
DeMar DeRozan,2118,392,374,68,24,181,8.8
