Player,G,PTS/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,TS%,PER,WS/36,BPM,VORP,On_Off,TWR,VPS
Russell Westbrook,81,32.9,11.1,10.8,1.7,0.4,5.6,0.554,30.6,0.168,11.1,9.3,12.5,0.7,0.879
James Harden,81,28.8,8.0,11.1,1.5,0.5,5.6,0.613,27.4,0.183,8.7,8.0,3.3,0.82,0.746
Kawhi Leonard,74,27.5,6.3,3.8,1.9,0.8,2.3,0.61,27.6,0.198,9.4,7.1,1.6,0.91,0.495
LeBron James,74,25.1,8.2,8.3,1.1,0.6,3.9,0.619,27.0,0.166,7.6,6.7,17.1,0.76,0.33
Isaiah Thomas,76,30.8,2.9,6.3,1.0,0.2,3.0,0.625,26.5,0.175,6.7,5.6,4.3,0.79,0.08
Stephen Curry,79,27.3,4.9,7.1,1.9,0.2,3.2,0.624,24.6,0.172,6.9,5.9,17.2,1.0,0.051
Giannis Antetokounmpo,80,23.2,8.9,5.5,1.6,1.9,2.9,0.599,26.1,0.157,7.3,6.7,3.2,0.63,0.007
John Wall,78,22.8,4.2,10.6,2.0,0.6,4.1,0.541,23.2,0.112,4.7,4.8,8.0,0.73,0.007
Anthony Davis,75,27.9,11.8,2.1,1.3,2.2,2.4,0.58,27.5,0.146,5.9,5.4,9.8,0.51,0.002
Kevin Durant,62,27.1,8.9,5.2,1.2,1.7,2.4,0.651,27.6,0.209,8.9,5.7,8.6,1.0,0.002
